epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.477,1.69212,2.75882,1.04722,0.22663,0.17924,0.13422,0.07392,1.5955,2.56959,1.04866,0.000665017,0.000665017,0.000665017
2,301.97,1.70552,2.13997,1.05443,0.28551,0.17114,0.14378,0.07809,1.69896,2.28026,1.09525,0.00130532,0.00130532,0.00130532
3,396.473,1.67555,1.98824,1.05008,0.26317,0.2319,0.17276,0.09196,1.66856,2.6528,1.09151,0.00191922,0.00191922,0.00191922
4,490.678,1.63734,1.91826,1.04289,0.37634,0.24203,0.2203,0.12503,1.56097,2.0097,1.05371,0.0018812,0.0018812,0.0018812
5,585.14,1.60117,1.8565,1.02799,0.38501,0.27646,0.25812,0.15378,1.46986,1.91382,1.01217,0.0018416,0.0018416,0.0018416
6,679.076,1.56729,1.81084,1.01533,0.39517,0.25367,0.244,0.1492,1.45398,1.8964,1.01925,0.001802,0.001802,0.001802
7,775.252,1.52831,1.77638,1.00681,0.41949,0.24152,0.24672,0.15172,1.51196,1.88857,1.0452,0.0017624,0.0017624,0.0017624
8,869.662,1.51591,1.7507,0.9963,0.44011,0.27979,0.27629,0.17221,1.41949,1.73318,1.00142,0.0017228,0.0017228,0.0017228
9,964.226,1.48915,1.69894,0.98615,0.43744,0.28962,0.2877,0.1836,1.37375,1.71032,0.99057,0.0016832,0.0016832,0.0016832
10,1059.07,1.46014,1.64587,0.98196,0.4638,0.28304,0.29281,0.17933,1.41763,1.706,0.99974,0.0016436,0.0016436,0.0016436
11,1154.1,1.45555,1.63156,0.98081,0.45116,0.31595,0.3091,0.18627,1.39092,1.69729,0.99352,0.001604,0.001604,0.001604
12,1248.59,1.43495,1.61214,0.97063,0.45842,0.30532,0.30545,0.19115,1.35323,1.69598,0.97172,0.0015644,0.0015644,0.0015644
