epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.388,1.82982,2.51141,1.03913,0.2595,0.17475,0.12567,0.0671,1.68065,1.57571,0.99152,0.000237411,0.000237411,0.000237411
2,410.186,1.69292,1.56033,0.99468,0.22457,0.2066,0.166,0.08958,1.62354,1.39386,0.96748,0.000465998,0.000465998,0.000465998
3,535.329,1.64273,1.43318,0.981,0.2542,0.23353,0.19281,0.10658,1.59744,1.32447,0.97054,0.00068516,0.00068516,0.00068516
4,659.145,1.60747,1.35111,0.97403,0.28734,0.24091,0.20718,0.11634,1.57672,1.30027,0.96032,0.000671588,0.000671588,0.000671588
5,781.987,1.58602,1.30274,0.96833,0.31124,0.24725,0.22602,0.12509,1.56127,1.22809,0.95618,0.000657451,0.000657451,0.000657451
6,905.746,1.56771,1.26604,0.96338,0.31407,0.251,0.22886,0.12908,1.51349,1.22053,0.95028,0.000643314,0.000643314,0.000643314
7,1030.72,1.54973,1.23913,0.96037,0.33179,0.24775,0.23157,0.1295,1.54707,1.21425,0.95186,0.000629177,0.000629177,0.000629177
8,1156.3,1.53508,1.22213,0.95538,0.36735,0.25598,0.23685,0.13217,1.52545,1.19377,0.94838,0.00061504,0.00061504,0.00061504
9,1281.91,1.52622,1.2068,0.95345,0.3362,0.27596,0.25267,0.14378,1.47243,1.1609,0.94081,0.000600902,0.000600902,0.000600902
10,1408.11,1.51249,1.18166,0.94997,0.34939,0.27245,0.25207,0.1425,1.48753,1.1554,0.94143,0.000586765,0.000586765,0.000586765
11,1545.8,1.50357,1.16837,0.94805,0.36752,0.27863,0.26132,0.14908,1.46531,1.13974,0.93644,0.000572628,0.000572628,0.000572628
12,1683.11,1.49732,1.15415,0.94642,0.35934,0.28497,0.26412,0.14912,1.47484,1.13532,0.94202,0.000558491,0.000558491,0.000558491
13,1819.58,1.49589,1.14521,0.9447,0.36,0.27821,0.26178,0.14791,1.47246,1.13812,0.93962,0.000544354,0.000544354,0.000544354
14,1953.03,1.48457,1.1348,0.94234,0.35535,0.28555,0.26838,0.15278,1.45183,1.12333,0.93572,0.000530216,0.000530216,0.000530216
15,2091.25,1.47491,1.12224,0.94078,0.37228,0.28132,0.26589,0.15189,1.47904,1.12759,0.93935,0.000516079,0.000516079,0.000516079
16,2225.17,1.4675,1.1108,0.93731,0.35743,0.28297,0.26723,0.15083,1.46095,1.11928,0.93457,0.000501942,0.000501942,0.000501942
17,2357.21,1.46693,1.10818,0.93543,0.38576,0.29003,0.27911,0.1593,1.44446,1.10803,0.92964,0.000487805,0.000487805,0.000487805
18,2491.21,1.45624,1.09642,0.93633,0.35639,0.29634,0.27329,0.1558,1.44681,1.10315,0.92782,0.000473668,0.000473668,0.000473668
19,2625.51,1.45947,1.0934,0.93445,0.39372,0.29777,0.28334,0.1628,1.41984,1.0919,0.92541,0.00045953,0.00045953,0.00045953
20,2758.66,1.45231,1.08273,0.93243,0.39165,0.29095,0.28111,0.16066,1.42226,1.0988,0.92472,0.000445393,0.000445393,0.000445393
21,2889.77,1.44324,1.07935,0.9327,0.39994,0.29781,0.29067,0.16565,1.41954,1.07692,0.92487,0.000431256,0.000431256,0.000431256
22,3023.03,1.44218,1.07104,0.92976,0.38766,0.30134,0.29311,0.16703,1.41146,1.07772,0.92184,0.000417119,0.000417119,0.000417119
23,3157.59,1.42964,1.05886,0.92931,0.38878,0.29422,0.2847,0.16304,1.42801,1.07233,0.92291,0.000402982,0.000402982,0.000402982
24,3289.81,1.42867,1.05799,0.92768,0.38653,0.30028,0.28703,0.16539,1.41825,1.07766,0.92421,0.000388844,0.000388844,0.000388844
25,3421.61,1.42934,1.05211,0.92576,0.38116,0.30525,0.28975,0.16645,1.40868,1.07231,0.92266,0.000374707,0.000374707,0.000374707
26,3550.94,1.41904,1.04758,0.92461,0.39068,0.30792,0.29571,0.16933,1.412,1.06294,0.92392,0.00036057,0.00036057,0.00036057
27,3672.23,1.41806,1.04243,0.92515,0.40413,0.30539,0.29736,0.17042,1.40315,1.05856,0.92278,0.000346433,0.000346433,0.000346433
28,3793.86,1.41037,1.03424,0.92277,0.40573,0.30019,0.2945,0.16849,1.40837,1.05521,0.92151,0.000332296,0.000332296,0.000332296
29,3916.13,1.40433,1.02896,0.92365,0.40475,0.30989,0.30458,0.17511,1.39379,1.04094,0.91913,0.000318158,0.000318158,0.000318158
30,4038.26,1.40134,1.02072,0.92117,0.40869,0.30815,0.29959,0.1716,1.40305,1.04693,0.92021,0.000304021,0.000304021,0.000304021
31,4161.83,1.39898,1.02362,0.92086,0.39703,0.3086,0.29761,0.17203,1.39067,1.04325,0.91693,0.000289884,0.000289884,0.000289884
32,4287.16,1.3986,1.01529,0.92063,0.41617,0.30733,0.30185,0.17132,1.40474,1.04112,0.92023,0.000275747,0.000275747,0.000275747
33,4413.1,1.39498,1.00772,0.91758,0.3943,0.31257,0.30222,0.17318,1.39495,1.04157,0.91896,0.00026161,0.00026161,0.00026161
34,4537.94,1.38577,0.99931,0.91894,0.41245,0.31339,0.30949,0.1786,1.38654,1.02895,0.91754,0.000247472,0.000247472,0.000247472
