epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.966,1.82383,2.39207,1.03628,0.25441,0.17321,0.12087,0.06174,1.71023,1.58002,0.99623,0.000356119,0.000356119,0.000356119
2,264.356,1.67816,1.52724,0.9928,0.24637,0.20868,0.17383,0.09443,1.6343,1.37548,0.97838,0.000698999,0.000698999,0.000698999
3,375.03,1.63693,1.41341,0.98039,0.26954,0.2265,0.19606,0.11071,1.56722,1.33962,0.96253,0.000685726,0.000685726,0.000685726
4,485.586,1.61352,1.35184,0.97549,0.29766,0.23812,0.21596,0.12049,1.54885,1.26795,0.95296,0.000671588,0.000671588,0.000671588
5,596.176,1.58047,1.29954,0.96715,0.31522,0.23601,0.22192,0.127,1.53319,1.23959,0.95202,0.000657451,0.000657451,0.000657451
6,708.089,1.56168,1.26175,0.96328,0.32412,0.25708,0.23195,0.13064,1.52296,1.20953,0.9477,0.000643314,0.000643314,0.000643314
7,817.824,1.54922,1.23365,0.95942,0.31025,0.27563,0.24249,0.1371,1.48404,1.20228,0.94347,0.000629177,0.000629177,0.000629177
8,927.737,1.53811,1.21433,0.95448,0.33641,0.26717,0.24247,0.13521,1.49816,1.18624,0.95023,0.00061504,0.00061504,0.00061504
9,1037.29,1.52542,1.19829,0.95218,0.33824,0.27224,0.24302,0.13854,1.48209,1.18488,0.93791,0.000600902,0.000600902,0.000600902
10,1147.59,1.52127,1.17923,0.95113,0.34586,0.26768,0.25201,0.14271,1.46419,1.16085,0.93641,0.000586765,0.000586765,0.000586765
11,1256.91,1.50886,1.16973,0.94786,0.35153,0.27631,0.25595,0.1438,1.47745,1.14732,0.93678,0.000572628,0.000572628,0.000572628
12,1367.32,1.49327,1.14717,0.94493,0.36316,0.27827,0.26267,0.15087,1.45484,1.1307,0.93324,0.000558491,0.000558491,0.000558491
13,1481.02,1.48415,1.13577,0.9429,0.34837,0.28432,0.26697,0.1524,1.45806,1.11935,0.93438,0.000544354,0.000544354,0.000544354
14,1593.62,1.48204,1.13367,0.94062,0.36641,0.2843,0.26312,0.14871,1.4555,1.13293,0.93205,0.000530216,0.000530216,0.000530216
15,1706.2,1.47368,1.12332,0.9404,0.35795,0.29159,0.27191,0.15571,1.43431,1.10759,0.92963,0.000516079,0.000516079,0.000516079
16,1820.57,1.46901,1.11714,0.93918,0.37076,0.29204,0.27964,0.15879,1.43905,1.10347,0.9284,0.000501942,0.000501942,0.000501942
17,1935.24,1.45968,1.10091,0.93622,0.38137,0.30012,0.28647,0.16352,1.43169,1.08935,0.92942,0.000487805,0.000487805,0.000487805
18,2049.4,1.45657,1.09626,0.93663,0.38324,0.29593,0.28006,0.15959,1.42939,1.09553,0.9273,0.000473668,0.000473668,0.000473668
19,2167.62,1.45125,1.08949,0.93349,0.36826,0.29316,0.27642,0.15933,1.42291,1.09173,0.9276,0.00045953,0.00045953,0.00045953
20,2282.44,1.44073,1.08014,0.93234,0.37587,0.30096,0.2855,0.16486,1.43395,1.08636,0.92671,0.000445393,0.000445393,0.000445393
21,2397.05,1.44232,1.07083,0.9305,0.39771,0.29638,0.28862,0.16494,1.42689,1.07378,0.92881,0.000431256,0.000431256,0.000431256
22,2513.14,1.44418,1.0728,0.93179,0.38252,0.29828,0.28371,0.16294,1.41798,1.07934,0.92334,0.000417119,0.000417119,0.000417119
23,2629.69,1.43893,1.06952,0.93117,0.39946,0.29964,0.29602,0.1678,1.40924,1.06873,0.92241,0.000402982,0.000402982,0.000402982
24,2744.53,1.43247,1.05968,0.92909,0.39807,0.30603,0.29815,0.17057,1.40437,1.05962,0.92313,0.000388844,0.000388844,0.000388844
25,2859.94,1.42275,1.0464,0.92728,0.39197,0.302,0.29382,0.16824,1.40565,1.06174,0.9215,0.000374707,0.000374707,0.000374707
26,2973.37,1.41181,1.04128,0.92623,0.40445,0.29925,0.29686,0.17124,1.402,1.05861,0.92156,0.00036057,0.00036057,0.00036057
27,3087.9,1.41992,1.04112,0.92369,0.3975,0.31149,0.30056,0.1725,1.39976,1.05285,0.9183,0.000346433,0.000346433,0.000346433
28,3201.51,1.41789,1.03828,0.92459,0.38621,0.31634,0.30136,0.17345,1.39622,1.05284,0.92014,0.000332296,0.000332296,0.000332296
29,3315.4,1.41047,1.03059,0.92347,0.40425,0.30658,0.3006,0.17252,1.39505,1.04497,0.91941,0.000318158,0.000318158,0.000318158
30,3432.12,1.4093,1.03059,0.92356,0.4029,0.31363,0.30125,0.17241,1.39408,1.04581,0.91907,0.000304021,0.000304021,0.000304021
31,3549.43,1.40072,1.01948,0.92086,0.40384,0.31196,0.30227,0.17378,1.39639,1.04186,0.9207,0.000289884,0.000289884,0.000289884
32,3670.63,1.39097,1.01293,0.91893,0.40239,0.3169,0.3036,0.17366,1.39415,1.04344,0.92035,0.000275747,0.000275747,0.000275747
33,3792.92,1.38933,1.01002,0.91881,0.39544,0.31567,0.30566,0.17742,1.39269,1.03603,0.91981,0.00026161,0.00026161,0.00026161
34,3938.25,1.38896,1.00474,0.91883,0.41785,0.31958,0.31316,0.17987,1.3858,1.03042,0.91692,0.000247472,0.000247472,0.000247472
35,4052.98,1.38955,0.99866,0.91751,0.40735,0.31422,0.30727,0.17816,1.3814,1.03065,0.91673,0.000233335,0.000233335,0.000233335
36,4171.69,1.38561,0.99876,0.91742,0.4058,0.32362,0.31064,0.17969,1.37759,1.02201,0.91704,0.000219198,0.000219198,0.000219198
37,4307.88,1.38057,0.99379,0.91667,0.4133,0.32124,0.31177,0.17975,1.37752,1.02752,0.91571,0.000205061,0.000205061,0.000205061
38,4424,1.37445,0.98549,0.91542,0.41117,0.32127,0.31466,0.18207,1.37574,1.02319,0.91602,0.000190924,0.000190924,0.000190924
39,4538.95,1.36696,0.97605,0.91281,0.40805,0.31878,0.31107,0.18082,1.3736,1.02246,0.91541,0.000176786,0.000176786,0.000176786
40,4653.11,1.37144,0.98193,0.91378,0.40936,0.32191,0.31192,0.18074,1.37372,1.02009,0.91618,0.000162649,0.000162649,0.000162649
41,4760.78,1.34459,0.9626,0.91463,0.40739,0.32384,0.31134,0.17966,1.3829,1.02745,0.91668,0.000148512,0.000148512,0.000148512
42,4865.04,1.3306,0.94415,0.91224,0.41175,0.31834,0.31001,0.17925,1.3841,1.02613,0.91764,0.000134375,0.000134375,0.000134375
43,4970.38,1.32438,0.93837,0.91142,0.42036,0.31387,0.31054,0.17956,1.38469,1.02305,0.9179,0.000120238,0.000120238,0.000120238
44,5076.46,1.32446,0.93516,0.90928,0.40782,0.31673,0.30858,0.17943,1.37969,1.02153,0.91502,0.0001061,0.0001061,0.0001061
45,5182.89,1.31775,0.92692,0.90816,0.40377,0.32234,0.31085,0.18011,1.37564,1.01971,0.91524,9.19632e-05,9.19632e-05,9.19632e-05
46,5288.5,1.3143,0.91958,0.90611,0.40732,0.31747,0.30959,0.17956,1.37416,1.01982,0.91513,7.7826e-05,7.7826e-05,7.7826e-05
47,5393.95,1.30406,0.91304,0.90589,0.40356,0.32051,0.31314,0.18117,1.37546,1.01738,0.9158,6.36888e-05,6.36888e-05,6.36888e-05
48,5498.92,1.30522,0.91156,0.90484,0.4044,0.32479,0.31364,0.18121,1.37357,1.01269,0.91439,4.95516e-05,4.95516e-05,4.95516e-05
