epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.548,1.818,2.40273,1.03738,0.28179,0.18764,0.12847,0.06972,1.6494,1.52181,0.98407,0.000356119,0.000356119,0.000356119
2,261.659,1.69124,1.55632,0.99588,0.23782,0.21754,0.16926,0.09137,1.63023,1.43923,0.97062,0.000698999,0.000698999,0.000698999
3,372.51,1.64833,1.43827,0.98638,0.27054,0.22835,0.18903,0.10436,1.59111,1.32737,0.96777,0.000685726,0.000685726,0.000685726
4,482.792,1.61239,1.36685,0.97694,0.29036,0.22382,0.20655,0.11512,1.566,1.30693,0.96546,0.000671588,0.000671588,0.000671588
5,594.59,1.59189,1.32578,0.97034,0.32385,0.24713,0.22132,0.12387,1.51823,1.24351,0.95265,0.000657451,0.000657451,0.000657451
6,705.718,1.57424,1.28872,0.96626,0.32038,0.25042,0.23164,0.12834,1.51933,1.20802,0.95267,0.000643314,0.000643314,0.000643314
7,817.304,1.55551,1.25387,0.96187,0.32552,0.2532,0.23176,0.13219,1.51277,1.21958,0.94515,0.000629177,0.000629177,0.000629177
8,928.171,1.54737,1.23533,0.9578,0.34407,0.25884,0.24205,0.13757,1.49277,1.17968,0.94229,0.00061504,0.00061504,0.00061504
9,1038.73,1.52597,1.21596,0.95574,0.33506,0.26015,0.24814,0.13991,1.48282,1.17888,0.94362,0.000600902,0.000600902,0.000600902
10,1150.25,1.52163,1.19511,0.95285,0.34397,0.26978,0.25359,0.14429,1.48973,1.16559,0.94129,0.000586765,0.000586765,0.000586765
11,1262.46,1.51481,1.1856,0.94991,0.35252,0.27011,0.25234,0.13928,1.50004,1.17316,0.94262,0.000572628,0.000572628,0.000572628
12,1374.77,1.50961,1.18393,0.94651,0.34695,0.27226,0.25089,0.14176,1.48607,1.17041,0.93602,0.000558491,0.000558491,0.000558491
13,1484.87,1.49702,1.1587,0.94488,0.32821,0.27538,0.25361,0.14531,1.4848,1.16298,0.93453,0.000544354,0.000544354,0.000544354
14,1606.13,1.48908,1.15552,0.94342,0.37342,0.27679,0.26658,0.15347,1.45471,1.12797,0.93197,0.000530216,0.000530216,0.000530216
15,1717.69,1.48799,1.13988,0.94433,0.36635,0.28556,0.27204,0.1542,1.45712,1.12438,0.93285,0.000516079,0.000516079,0.000516079
16,1828.19,1.47725,1.13772,0.94116,0.38,0.28455,0.27322,0.15519,1.45979,1.11235,0.93006,0.000501942,0.000501942,0.000501942
17,1938.07,1.47283,1.1267,0.93872,0.37689,0.27837,0.27297,0.15636,1.44864,1.11217,0.93091,0.000487805,0.000487805,0.000487805
18,2047.39,1.45175,1.11023,0.93589,0.3677,0.29271,0.27519,0.15808,1.43192,1.10111,0.92802,0.000473668,0.000473668,0.000473668
19,2158.1,1.45952,1.10571,0.93721,0.38711,0.29262,0.28374,0.16224,1.43495,1.1007,0.92808,0.00045953,0.00045953,0.00045953
20,2268.57,1.46312,1.10742,0.93763,0.37711,0.29279,0.28086,0.16093,1.42325,1.09305,0.92971,0.000445393,0.000445393,0.000445393
